record_id,relation,carrier,contract_family,contract_variant,score,family_mean_score,family_min_score,family_max_score,contract_sensitivity,weakest_contract_variant,strongest_contract_variant,contract_localization_flag,evidence_available,evidence_completeness,interpretation
three_way__geometry_scores_only,three_way,geometry_scores_only,structural_resampling,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
three_way__no_window,three_way,no_window,numeric_transform,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
three_way__no_window,three_way,no_window,scale_band,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
three_way__no_window,three_way,no_window,feature_family_projection,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
three_way__no_window,three_way,no_window,structural_resampling,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
three_way__stability_plus_geometry,three_way,stability_plus_geometry,numeric_transform,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
three_way__stability_plus_geometry,three_way,stability_plus_geometry,scale_band,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
three_way__stability_plus_geometry,three_way,stability_plus_geometry,feature_family_projection,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
three_way__stability_plus_geometry,three_way,stability_plus_geometry,structural_resampling,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
three_way__strict_numeric_all,three_way,strict_numeric_all,numeric_transform,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
three_way__strict_numeric_all,three_way,strict_numeric_all,scale_band,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
three_way__strict_numeric_all,three_way,strict_numeric_all,feature_family_projection,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
three_way__strict_numeric_all,three_way,strict_numeric_all,structural_resampling,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
three_way__path_shares_only,three_way,path_shares_only,numeric_transform,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
three_way__path_shares_only,three_way,path_shares_only,scale_band,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
three_way__path_shares_only,three_way,path_shares_only,feature_family_projection,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
three_way__path_shares_only,three_way,path_shares_only,structural_resampling,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
three_way__stability_core_3,three_way,stability_core_3,numeric_transform,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
three_way__stability_core_3,three_way,stability_core_3,scale_band,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
three_way__stability_core_3,three_way,stability_core_3,feature_family_projection,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
three_way__stability_core_3,three_way,stability_core_3,structural_resampling,aggregate_or_missing,,,,,,not_available,not_available,False,False,missing_optional_contract_columns,No contract-family columns found; missing evidence is not treated as positive evidence.
